show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,imdb_score
s144,Movie,Documentary Life 68,Sarah Johnson,"Jake Wilson, Matt Anderson, Noah White",Taiwan,"August 09, 2016",2001,TV-G,145 min,Comedy,,8.1
s145,Movie,Adventure Quest 74,Jessica Turner,"Jake Wilson, Mia Young",Hong Kong,"April 20, 2019",,NR,155 min,"Western, Sci-Fi & Fantasy, Action & Adventure",A historical drama,5.6
s146,Movie,Family Fun 40,,"Sophie Taylor, Ryan Davis, Emma Smith, Chloe Lopez",Egypt,"September 08, 2021",2017,PG-13,147 min,Sci-Fi & Fantasy,A documentary about life,
s147,Movie,Drama Queen 94,Robert Taylor,"Olivia Brown, Ava Clark, Emma Smith",Israel,"December 27, 2021",1993,TV-MA,65 min,Musical,A crime investigation story,7.8
s148,Movie,Horror House 89,John Smith,"William Thompson, Luke Garcia","Poland, France","September 26, 2020",1997,PG,187 min,Animation,An action-packed thriller,6.4
s149,Movie,Adventure Quest 6,Robert Taylor,"Noah White, Grace Martinez, Tom Johnson, Charlotte Miller, Ryan Davis","Singapore, Australia","August 24, 2025",2022,,85 min,"Musical, Family",A thrilling adventure story,
s150,Movie,Adventure Quest 6,Amanda White,"Mia Young, Olivia Brown, Benjamin Turner, Emma Smith",,"July 20, 2016",2000,TV-G,128 min,Crime,A documentary about life,6.6
s151,TV Show,Animation Fun 25,Jessica Turner,"Olivia Brown, Jake Wilson, Emma Smith","France, Poland","March 21, 2025",2018,TV-Y7,6 Seasons,"Thriller, Sports, Western",A documentary about life,4.8
s152,Movie,Thriller Night 2,Anthony Green,"Noah White, William Thompson, Benjamin Turner",Russia,"June 03, 2022",2020,TV-MA,158 min,"Comedy, Action & Adventure",A mysterious drama series,6.7
s153,Movie,Crime Scene 22,,"Noah White, Luke Garcia, Emma Smith",Belgium,"July 10, 2019",1995,TV-14,174 min,Crime,An animated adventure,4.6
s154,Movie,Documentary Life 53,,"Amelia Moore, Chloe Lopez",Taiwan,"August 28, 2025",1993,TV-G,144 min,"Sports, Mystery",A heartwarming family tale,
s155,TV Show,Crime Investigation 15,,"Charlotte Miller, William Thompson, Ava Clark, Olivia Brown",Spain,"March 20, 2024",2016,TV-14,4 Seasons,"War & Military, Sci-Fi & Fantasy, Musical",An action-packed thriller,5.0
s156,Movie,Animation World 6,Mark Thompson,"Oliver Green, Benjamin Turner, William Thompson, Jake Wilson, Isabella Adams",,"April 04, 2023",2017,TV-G,190 min,"Romance, Thriller, Horror",A sci-fi epic,6.0
s157,Movie,Documentary Life 54,Maria Garcia,"Chloe Lopez, Oliver Green, Jake Wilson, Charlotte Miller","Malaysia, Indonesia","June 15, 2024",2010,TV-PG,115 min,"Family, Mystery",A mysterious drama series,7.6
s158,TV Show,Comedy Hour 33,Christopher Lee,"Charlotte Miller, Isabella Adams, Mia Young, Chloe Lopez",United States,"November 11, 2020",2014,TV-MA,1 Season,"Romance, Family",A mysterious drama series,7.7
s159,Movie,Romance Road 27,Sarah Johnson,"Olivia Brown, Charlotte Miller, Grace Martinez, Ethan Rodriguez, Benjamin Turner","Philippines, South Korea","May 22, 2025",2016,TV-MA,140 min,Animation,An animated adventure,8.8
s160,TV Show,Fantasy World 46,Mark Thompson,"Matt Anderson, Chloe Lopez, Oliver Green",Mexico,"December 12, 2016",1997,TV-Y7,5 Seasons,Animation,,8.9
s161,Movie,Action Hero 20,Laura Miller,"Isabella Adams, Benjamin Turner, Charlotte Miller, Ava Clark","Egypt, Thailand","January 23, 2017",2022,TV-PG,197 min,Sci-Fi & Fantasy,A dark horror story,5.5
s162,Movie,Sports Champion 68,Nicole Adams,"Olivia Brown, Ava Clark","Argentina, India","August 27, 2022",2014,PG,158 min,"Action & Adventure, Western",A dark horror story,6.9
s163,Movie,Crime Scene 6,Robert Taylor,"Olivia Brown, Sophie Taylor","Israel, United States","January 11, 2022",2003,TV-Y7,86 min,"Biography, Drama",A mysterious drama series,
s164,Movie,Thriller Night 5,,"Charlotte Miller, Ryan Davis, Grace Martinez, Luke Garcia",Switzerland,"November 09, 2019",2014,TV-PG,61 min,"Comedy, Drama",A crime investigation story,
s165,Movie,Romance Road 78,,"Ethan Rodriguez, Amelia Moore, Tom Johnson, Isabella Adams, Sophie Taylor",Switzerland,"December 08, 2023",2024,TV-MA,96 min,"Mystery, Action & Adventure, Thriller",A thrilling adventure story,6.4
s166,TV Show,Sci-Fi Chronicles 6,Amanda White,"Sophie Taylor, Amelia Moore, Grace Martinez",Germany,"January 12, 2017",1993,TV-PG,8 Seasons,Drama,An action-packed thriller,6.8
s167,Movie,Thriller Night 46,Maria Garcia,"Matt Anderson, Noah White",Indonesia,"October 11, 2022",2013,TV-Y7,103 min,,An action-packed thriller,7.5
s168,Movie,Sci-Fi Future 47,Christopher Lee,"Oliver Green, Ava Clark, Chloe Lopez, Isabella Adams, Olivia Brown",Nigeria,"August 18, 2024",2024,NR,79 min,"Western, Action & Adventure, War & Military",An action-packed thriller,7.1
s169,Movie,War Stories 70,David Wilson,"Benjamin Turner, Chloe Lopez, Jake Wilson",Switzerland,"January 30, 2019",2005,TV-14,102 min,Romance,A sci-fi epic,9.0
s170,Movie,Crime Scene 46,,"Ryan Davis, Luke Garcia, Ava Clark",Egypt,"March 07, 2025",2014,TV-G,71 min,"Horror, Western",A romantic comedy,5.7
s171,Movie,War Stories 73,Daniel Clark,"William Thompson, Luke Garcia","Egypt, Switzerland","December 16, 2018",2012,TV-G,61 min,Romance,A crime investigation story,5.5
s172,Movie,Adventure Quest 21,Emily Davis,"Noah White, Olivia Brown, Isabella Adams, Charlotte Miller, William Thompson",Poland,"April 02, 2015",1998,PG-13,94 min,Thriller,A romantic comedy,6.9
s173,Movie,Documentary Life 77,John Smith,"Ryan Davis, Matt Anderson, Oliver Green, Isabella Adams",Poland,"September 27, 2021",2001,TV-PG,127 min,"Musical, Drama",A documentary about life,
s174,Movie,The Mystery 26,Anthony Green,"Amelia Moore, Olivia Brown, Sophie Taylor",India,"November 04, 2024",2022,PG,183 min,"Historical, Action & Adventure, Biography",A dark horror story,7.8
s175,Movie,Animation World 30,,,"Canada, Philippines","September 16, 2021",2016,G,61 min,Action & Adventure,An action-packed thriller,6.0
s176,Movie,Family Fun 14,Mark Thompson,"Benjamin Turner, Ava Clark, Luke Garcia, Ethan Rodriguez, Matt Anderson","Hong Kong, Mexico","February 25, 2019",2020,NC-17,148 min,Thriller,A historical drama,
s177,Movie,Drama Queen 58,Lisa Anderson,"Noah White, Charlotte Miller, Emma Smith, Sophie Taylor, Ethan Rodriguez",Canada,"March 26, 2024",2017,NC-17,116 min,"War & Military, Historical",A crime investigation story,9.0
s178,Movie,Action Hero 100,Jessica Turner,"William Thompson, Chloe Lopez, Matt Anderson",Egypt,"October 31, 2022",2000,TV-Y,121 min,"Drama, Animation, War & Military",A documentary about life,5.4
s179,TV Show,The Series 48,Michael Brown,"Ava Clark, Luke Garcia, Grace Martinez, Matt Anderson",United States,"December 05, 2017",2022,PG,9 Seasons,"Western, Animation, Historical",A documentary about life,8.1
s180,Movie,Thriller Night 100,Kevin Young,"Isabella Adams, Olivia Brown",Thailand,"August 04, 2022",2010,TV-Y,192 min,"Animation, Documentary",A documentary about life,8.4
s181,Movie,Love Story 71,Jessica Turner,"Benjamin Turner, Luke Garcia, Sophie Taylor",Italy,"August 05, 2020",2005,NC-17,112 min,"Mystery, Thriller",A heartwarming family tale,7.7
s182,Movie,Crime Scene 79,,"Isabella Adams, Ava Clark",Nigeria,"July 03, 2020",2022,R,92 min,"Sports, Comedy",A documentary about life,8.1
s183,TV Show,Romance Stories 8,Kevin Young,"Tom Johnson, Matt Anderson",Denmark,"November 14, 2021",2001,R,5 Seasons,"Mystery, Romance",An action-packed thriller,8.0
s184,TV Show,Adventure Time 26,Lisa Anderson,"Olivia Brown, Luke Garcia, Grace Martinez","Italy, Australia","December 21, 2023",1999,G,3 Seasons,Western,A dark horror story,5.9
s185,Movie,War Stories 73,,"Emma Smith, Matt Anderson, Luke Garcia",China,"May 08, 2023",2013,TV-PG,125 min,Mystery,A sci-fi epic,7.2
s186,Movie,War Stories 23,Jennifer Lopez,"Oliver Green, Ryan Davis, Ethan Rodriguez, Chloe Lopez, Amelia Moore",Brazil,"March 08, 2022",2011,TV-14,163 min,Romance,A dark horror story,5.9
s187,TV Show,Action Pack 39,James Martinez,"Benjamin Turner, William Thompson, Oliver Green, Mia Young","Spain, Argentina","June 04, 2022",1995,TV-Y7,2 Seasons,"Sports, Comedy, Action & Adventure",A crime investigation story,4.9
s188,Movie,Sci-Fi Future 80,Daniel Clark,"Chloe Lopez, Oliver Green, Jake Wilson","United Kingdom, India","June 10, 2022",2010,TV-G,198 min,"Thriller, Romance",An animated adventure,7.5
s189,Movie,Biography Life 56,Nicole Adams,"Isabella Adams, Charlotte Miller, Grace Martinez, Ryan Davis",Colombia,"September 29, 2016",1990,PG-13,148 min,"Sports, Historical",A documentary about life,7.3
s190,Movie,The Mystery 71,Michelle Rodriguez,"Ethan Rodriguez, Grace Martinez, Sophie Taylor, Amelia Moore, William Thompson",Argentina,"October 17, 2020",2007,NR,196 min,Drama,A romantic comedy,
s191,Movie,Musical Dreams 80,Laura Miller,"Tom Johnson, Jake Wilson, Emma Smith, Amelia Moore",Nigeria,"May 27, 2016",1990,PG-13,63 min,Family,An animated adventure,6.7
s192,TV Show,Documentary Series 3,David Wilson,"Ryan Davis, Charlotte Miller, Isabella Adams, Sophie Taylor, Matt Anderson",Belgium,"April 15, 2024",,NR,4 Seasons,"Documentary, Comedy, Sci-Fi & Fantasy",A heartwarming family tale,9.1
s193,TV Show,Romance Stories 25,Jennifer Lopez,"Emma Smith, Charlotte Miller, William Thompson",Indonesia,"March 24, 2017",1993,R,2 Seasons,Action & Adventure,A romantic comedy,6.4
s194,Movie,Drama Queen 2,Mark Thompson,"Amelia Moore, Jake Wilson, Ava Clark, Ryan Davis, Grace Martinez",Sweden,"June 09, 2025",1993,,99 min,"Thriller, Sports",A crime investigation story,8.1
s195,Movie,Musical Dreams 94,Daniel Clark,"Luke Garcia, Emma Smith, Isabella Adams",Israel,"October 26, 2022",2001,TV-Y,179 min,"Historical, Romance",A mysterious drama series,8.4
s196,Movie,War Stories 47,Anthony Green,"Tom Johnson, Ava Clark, Grace Martinez",Israel,"March 08, 2024",2023,TV-PG,99 min,Crime,A crime investigation story,4.7
s197,TV Show,Comedy Hour 12,Robert Taylor,"Olivia Brown, Emma Smith, Ethan Rodriguez",Colombia,"July 21, 2015",1994,,4 Seasons,"Drama, Musical, Comedy",A musical journey,6.5
s198,TV Show,Adventure Time 46,,"Ryan Davis, Chloe Lopez",Egypt,"February 02, 2016",2004,R,4 Seasons,Romance,A crime investigation story,5.0
s199,TV Show,Crime Investigation 37,Kevin Young,"Olivia Brown, Sophie Taylor, Benjamin Turner, Ethan Rodriguez, Noah White",China,"June 20, 2025",2010,TV-Y,6 Seasons,"Crime, Documentary",An action-packed thriller,7.1
s200,TV Show,Fantasy World 17,Kevin Young,"Tom Johnson, Emma Smith, Chloe Lopez, Amelia Moore, Jake Wilson",Indonesia,"June 27, 2017",2010,,5 Seasons,"Thriller, Horror",A dark horror story,5.7
s201,Movie,Biography Life 32,Jennifer Lopez,"Benjamin Turner, Matt Anderson, Ryan Davis, Noah White, Isabella Adams","France, Indonesia","June 03, 2015",2014,,74 min,Biography,A heartwarming family tale,5.6
s202,Movie,Sports Champion 2,Daniel Clark,"Noah White, Charlotte Miller",Thailand,"September 19, 2016",2015,TV-14,189 min,War & Military,A dark horror story,
s203,Movie,Biography Life 96,,"Ethan Rodriguez, William Thompson",Spain,"May 23, 2020",2021,TV-14,110 min,"Western, Documentary, Historical",A documentary about life,8.8
s204,TV Show,Mystery Show 8,Michelle Rodriguez,"Noah White, Ava Clark, Tom Johnson",Norway,"November 29, 2021",2018,TV-G,1 Season,Mystery,A musical journey,5.0
s205,Movie,Action Hero 32,David Wilson,"Tom Johnson, Noah White, Olivia Brown, Chloe Lopez",Turkey,"April 20, 2023",2003,NC-17,200 min,"Thriller, Action & Adventure",A historical drama,5.7
s206,Movie,Action Hero 37,Laura Miller,"Tom Johnson, Ryan Davis, Ethan Rodriguez, Luke Garcia, Ava Clark",Belgium,"August 04, 2017",2022,PG,140 min,"Drama, Romance",An animated adventure,7.8
s207,Movie,Action Hero 32,Jennifer Lopez,"Sophie Taylor, Tom Johnson, Ava Clark, Charlotte Miller, William Thompson",Malaysia,"February 03, 2018",2006,G,131 min,War & Military,A heartwarming family tale,6.9
s208,Movie,Sports Champion 81,Michelle Rodriguez,"Mia Young, Chloe Lopez, Noah White",Spain,"July 07, 2021",2002,NC-17,194 min,Thriller,A sci-fi epic,6.0
s209,Movie,War Stories 69,,"Tom Johnson, Noah White, Mia Young",Nigeria,"September 14, 2016",1996,G,128 min,"Documentary, Historical",A dark horror story,
s210,Movie,Crime Scene 18,Laura Miller,"Sophie Taylor, Ethan Rodriguez, Isabella Adams, Charlotte Miller",India,"August 01, 2019",1990,TV-Y7,116 min,"Sci-Fi & Fantasy, Drama, Romance",An animated adventure,6.8
s211,Movie,Thriller Night 59,Michelle Rodriguez,"Amelia Moore, Ethan Rodriguez",Israel,"November 21, 2020",1992,TV-G,176 min,Documentary,A documentary about life,4.7
s212,Movie,Documentary Life 67,Sarah Johnson,"Ethan Rodriguez, Chloe Lopez, Benjamin Turner, Oliver Green, Sophie Taylor",South Korea,"September 27, 2022",1999,TV-MA,175 min,"Romance, Thriller",A dark horror story,5.3
s213,Movie,Biography Life 92,Kevin Young,"Sophie Taylor, Olivia Brown, Ryan Davis, Benjamin Turner",Canada,"November 15, 2020",2022,PG-13,156 min,Romance,A sci-fi epic,8.6
s214,Movie,Adventure Quest 19,Sarah Johnson,"Oliver Green, Chloe Lopez, Sophie Taylor, Olivia Brown","United States, Colombia, Taiwan","July 31, 2020",2024,TV-14,186 min,"Sports, Musical",A heartwarming family tale,4.5
s215,TV Show,Musical Show 36,Nicole Adams,"Emma Smith, Sophie Taylor, Jake Wilson",Australia,"July 29, 2024",2009,PG,1 Season,"Romance, Family, Historical",A musical journey,8.9
s216,Movie,Love Story 99,Amanda White,"Mia Young, Charlotte Miller",Germany,"October 16, 2022",2011,TV-PG,113 min,"Horror, Western",An animated adventure,7.3
s217,Movie,Romance Road 55,Christopher Lee,"Jake Wilson, Benjamin Turner, Isabella Adams, William Thompson",Mexico,"November 28, 2024",2008,G,90 min,"Horror, Sci-Fi & Fantasy",A documentary about life,6.1
s218,TV Show,Sci-Fi Chronicles 41,Robert Taylor,"Ryan Davis, Chloe Lopez, Benjamin Turner, William Thompson","Germany, Sweden","October 30, 2018",1991,R,6 Seasons,"Sports, Historical, Comedy",An animated adventure,6.7
s219,Movie,War Stories 43,Michelle Rodriguez,"William Thompson, Chloe Lopez",Israel,"March 18, 2015",2011,TV-Y,76 min,Action & Adventure,A documentary about life,8.5
s220,TV Show,Family Show 39,Laura Miller,"Noah White, Emma Smith, Luke Garcia, Mia Young","Denmark, China","April 20, 2024",2003,PG-13,2 Seasons,Sci-Fi & Fantasy,An animated adventure,8.3
s221,Movie,Fantasy Land 20,,"Noah White, Jake Wilson, Olivia Brown, William Thompson",,"February 25, 2020",2023,NC-17,71 min,"Drama, Crime",A thrilling adventure story,
s222,Movie,Romance Road 3,Jennifer Lopez,"Noah White, Matt Anderson, Benjamin Turner",China,"July 11, 2022",1999,PG,63 min,"Horror, Sci-Fi & Fantasy",A crime investigation story,5.2
s223,Movie,Romance Road 74,Michael Brown,"Charlotte Miller, Oliver Green, Emma Smith, Jake Wilson","South Korea, France","April 21, 2019",2017,NR,174 min,Sci-Fi & Fantasy,A historical drama,4.9
s224,Movie,Musical Dreams 73,Kevin Young,"Oliver Green, Isabella Adams, Grace Martinez, Charlotte Miller","Colombia, Denmark","May 25, 2019",2011,TV-Y,176 min,Horror,An animated adventure,5.8
s225,Movie,Family Fun 78,Anthony Green,"Noah White, Charlotte Miller","Israel, Taiwan","June 30, 2019",2005,TV-PG,100 min,Crime,A musical journey,8.2
s226,Movie,Animation World 73,Nicole Adams,"Ryan Davis, Benjamin Turner, Isabella Adams",Netherlands,"March 23, 2021",2018,TV-Y7,77 min,"War & Military, Crime",A historical drama,
s227,TV Show,Drama Series 9,,,Italy,"April 22, 2017",2010,TV-MA,5 Seasons,"Mystery, Drama, Action & Adventure",A crime investigation story,5.1
s228,Movie,Romance Road 8,Nicole Adams,"Charlotte Miller, Ava Clark",United Kingdom,"August 21, 2017",2015,NR,157 min,Sci-Fi & Fantasy,An animated adventure,
s229,TV Show,Sci-Fi Chronicles 25,Amanda White,"Chloe Lopez, Jake Wilson, Benjamin Turner",,"April 09, 2022",,TV-G,7 Seasons,Thriller,A documentary about life,8.7
s230,Movie,Sports Champion 55,Kevin Young,"Ethan Rodriguez, Ava Clark, Grace Martinez, Sophie Taylor, Mia Young",Argentina,"December 26, 2022",2016,TV-14,153 min,Sports,A heartwarming family tale,9.0
s231,TV Show,Mystery Show 10,Anthony Green,"Oliver Green, William Thompson, Ryan Davis, Benjamin Turner",Hong Kong,"January 27, 2022",1994,TV-PG,10 Seasons,Crime,A thrilling adventure story,6.9
s232,Movie,Crime Scene 74,Michelle Rodriguez,"Chloe Lopez, Sophie Taylor, Emma Smith, Amelia Moore",South Korea,"January 21, 2022",2000,TV-MA,134 min,"Family, Sports",A crime investigation story,
s233,Movie,Sci-Fi Future 33,James Martinez,"Tom Johnson, Olivia Brown, Sophie Taylor, Jake Wilson",Mexico,"December 06, 2017",2005,TV-PG,68 min,Thriller,A mysterious drama series,8.0
s234,Movie,Animation World 99,Kevin Young,"Matt Anderson, Benjamin Turner, Ava Clark",Germany,"August 04, 2015",2015,TV-G,196 min,"War & Military, Sports",A crime investigation story,4.6
s235,Movie,Musical Dreams 49,Anthony Green,"Olivia Brown, Charlotte Miller","Russia, Nigeria, Sweden","January 12, 2018",1996,TV-14,160 min,"Documentary, Sci-Fi & Fantasy",A historical drama,5.3
s236,TV Show,Sci-Fi Chronicles 1,Michael Brown,,China,"December 10, 2018",2008,G,1 Season,Sci-Fi & Fantasy,A historical drama,
s237,Movie,Dark Night 12,David Wilson,"Olivia Brown, Sophie Taylor, Luke Garcia",Japan,"March 01, 2022",2007,NR,142 min,"Animation, Comedy",A dark horror story,5.7
s238,Movie,Sci-Fi Future 23,Jessica Turner,"Amelia Moore, Ethan Rodriguez, Sophie Taylor",Israel,"August 15, 2023",1996,NR,126 min,Animation,A thrilling adventure story,5.2
s239,Movie,The Mystery 5,James Martinez,"Ethan Rodriguez, Benjamin Turner, Tom Johnson, William Thompson","Hong Kong, Russia","July 13, 2019",1994,G,158 min,"Sports, Horror",A dark horror story,5.9
s240,Movie,Action Hero 81,Michael Brown,"Ryan Davis, Oliver Green, Chloe Lopez, Matt Anderson",Belgium,"May 30, 2022",2014,TV-MA,151 min,"Musical, Sci-Fi & Fantasy, Thriller",A thrilling adventure story,7.3
s241,TV Show,Romance Stories 25,,"Isabella Adams, Charlotte Miller, Oliver Green, Tom Johnson",India,"July 19, 2019",2023,TV-MA,9 Seasons,"Drama, Comedy",An animated adventure,6.7
s242,TV Show,Musical Show 40,,"Tom Johnson, Sophie Taylor, Emma Smith","France, Taiwan","November 08, 2021",1994,PG,2 Seasons,"Documentary, Drama",A documentary about life,8.4
s243,TV Show,Fantasy World 44,Emily Davis,"Noah White, Matt Anderson, Emma Smith",Germany,"January 26, 2018",2016,TV-Y,9 Seasons,Comedy,A historical drama,8.2
s244,Movie,The Mystery 63,,,"Philippines, Poland","October 11, 2022",2020,R,96 min,"Biography, Documentary",A sci-fi epic,7.3
s245,Movie,Crime Scene 79,Jennifer Lopez,"Charlotte Miller, Grace Martinez","France, Denmark, Israel","September 09, 2020",2003,R,88 min,"Sports, Historical",A historical drama,4.8
s246,TV Show,Adventure Time 19,James Martinez,"Emma Smith, Olivia Brown, Amelia Moore, Sophie Taylor, William Thompson",Germany,"October 18, 2015",2018,TV-Y,7 Seasons,"Crime, Documentary",A dark horror story,5.6
s247,Movie,Animation World 26,Maria Garcia,"Emma Smith, Mia Young, Jake Wilson, Matt Anderson, Oliver Green",Taiwan,"January 27, 2023",2012,R,145 min,"Comedy, Animation",An animated adventure,5.3
s248,TV Show,Adventure Time 15,,,"Singapore, Turkey","August 20, 2021",2019,NR,7 Seasons,Crime,An action-packed thriller,7.3
s249,TV Show,Comedy Hour 37,Michelle Rodriguez,"Isabella Adams, William Thompson",Hong Kong,"January 30, 2024",1996,R,2 Seasons,Biography,A mysterious drama series,5.6
s250,TV Show,Mystery Show 2,Jennifer Lopez,"Benjamin Turner, Amelia Moore, Tom Johnson, Oliver Green, William Thompson","Switzerland, Mexico","November 10, 2023",2019,G,2 Seasons,"Western, Comedy",A romantic comedy,7.4
s251,Movie,Biography Life 27,Michael Brown,"Emma Smith, William Thompson, Ava Clark, Amelia Moore",India,"February 06, 2019",2025,TV-PG,112 min,Historical,An animated adventure,8.0
s252,Movie,Horror House 97,Maria Garcia,"William Thompson, Mia Young, Luke Garcia, Emma Smith",Singapore,"August 15, 2020",1997,TV-PG,196 min,Mystery,A musical journey,8.9
s253,TV Show,Mystery Show 13,Kevin Young,"Sophie Taylor, Chloe Lopez, Ryan Davis, Olivia Brown, Amelia Moore",Singapore,"September 08, 2016",2023,G,5 Seasons,"Thriller, Sports",An animated adventure,4.6
s254,Movie,Horror House 9,,"Mia Young, Benjamin Turner, Noah White, Charlotte Miller",Egypt,"June 10, 2024",2019,PG-13,138 min,Sports,A romantic comedy,4.7
s255,Movie,Family Fun 37,Lisa Anderson,"Charlotte Miller, Chloe Lopez, Sophie Taylor","Australia, Brazil","September 01, 2017",2010,TV-G,126 min,Comedy,A dark horror story,
s256,Movie,Musical Dreams 70,Nicole Adams,"Ethan Rodriguez, Isabella Adams","Netherlands, Australia","January 18, 2015",2024,TV-Y,135 min,Thriller,A musical journey,6.6
s257,TV Show,Fantasy World 8,Sarah Johnson,"Chloe Lopez, Tom Johnson","China, Norway","January 14, 2016",2002,R,5 Seasons,Musical,A heartwarming family tale,6.4
s258,Movie,Crime Scene 41,Anthony Green,"Ethan Rodriguez, Jake Wilson, Mia Young, Ava Clark",Norway,"December 10, 2018",2018,PG,115 min,Biography,A romantic comedy,7.9
s259,Movie,Animation World 94,David Wilson,"Jake Wilson, Matt Anderson","Egypt, Sweden, Japan","June 19, 2025",2014,TV-Y7,129 min,"Thriller, Sci-Fi & Fantasy",A documentary about life,6.8
s260,Movie,Romance Road 75,Nicole Adams,,"Hong Kong, Germany, Philippines","September 05, 2019",2005,,130 min,"Mystery, Sports, Biography",A historical drama,9.1
s261,Movie,Dark Night 48,Mark Thompson,,Australia,"August 02, 2018",1998,G,129 min,"Mystery, Comedy",A crime investigation story,4.9
s262,TV Show,Drama Series 50,Emily Davis,"Charlotte Miller, Noah White, Benjamin Turner",Indonesia,"January 16, 2018",2013,TV-14,6 Seasons,Western,An animated adventure,8.8
s263,Movie,Adventure Quest 14,Anthony Green,"Charlotte Miller, William Thompson, Amelia Moore","Germany, Poland","March 01, 2020",1997,G,182 min,"Thriller, Musical",A sci-fi epic,9.1
s264,Movie,Adventure Quest 91,,,"Russia, Germany, Japan","March 19, 2015",2017,,87 min,"Comedy, Sports",A romantic comedy,
s265,TV Show,Action Pack 43,,"Amelia Moore, Matt Anderson",Norway,"April 30, 2015",2007,TV-Y,6 Seasons,"Documentary, Western",A heartwarming family tale,8.1
s266,TV Show,Sci-Fi Chronicles 14,Jennifer Lopez,"Olivia Brown, Matt Anderson","Hong Kong, Denmark","October 30, 2022",2018,PG,3 Seasons,"Biography, Sci-Fi & Fantasy, Documentary",A dark horror story,
s267,Movie,Dark Night 67,Amanda White,"Ryan Davis, Noah White",Taiwan,"September 25, 2021",2018,TV-Y7,134 min,Drama,An animated adventure,6.2
s268,TV Show,The Series 44,Emily Davis,"Olivia Brown, Jake Wilson",France,"April 25, 2023",2000,,4 Seasons,"War & Military, Horror",A documentary about life,5.8
s269,Movie,Biography Life 76,Daniel Clark,"Isabella Adams, William Thompson, Luke Garcia, Jake Wilson, Oliver Green",Singapore,"August 03, 2017",1998,,73 min,Action & Adventure,A documentary about life,6.0
s270,Movie,Romance Road 80,Michael Brown,"Oliver Green, Matt Anderson, Chloe Lopez, Isabella Adams, William Thompson",Israel,"February 16, 2021",,TV-Y7,90 min,War & Military,A thrilling adventure story,
s271,TV Show,Sci-Fi Chronicles 43,Jennifer Lopez,"Isabella Adams, Mia Young, Jake Wilson",Germany,"May 19, 2021",2025,TV-14,8 Seasons,"Western, Comedy, War & Military",A sci-fi epic,7.4
s272,TV Show,Adventure Time 50,Christopher Lee,"Jake Wilson, Ava Clark","United Kingdom, Sweden","April 08, 2019",2012,TV-Y7,6 Seasons,Documentary,A sci-fi epic,
s273,TV Show,Fantasy World 5,,,Russia,"May 15, 2021",2016,NR,8 Seasons,"War & Military, Historical, Crime",An animated adventure,
s274,TV Show,Crime Investigation 14,Anthony Green,"Sophie Taylor, Chloe Lopez, Ava Clark, Mia Young",Japan,"June 04, 2024",2003,G,5 Seasons,Documentary,A heartwarming family tale,7.2
s275,Movie,Biography Life 44,Mark Thompson,"Mia Young, Matt Anderson, Ava Clark, Ryan Davis, Chloe Lopez",Israel,"July 07, 2018",2015,TV-PG,176 min,"Action & Adventure, Western",A sci-fi epic,7.6
s276,Movie,Musical Dreams 35,Nicole Adams,"Benjamin Turner, Emma Smith, William Thompson, Matt Anderson, Ava Clark",Indonesia,"June 19, 2024",2010,PG,112 min,Family,A romantic comedy,5.6
s277,TV Show,Drama Series 8,John Smith,"Oliver Green, Isabella Adams, Charlotte Miller, Mia Young","Italy, Brazil","January 22, 2018",2006,NC-17,9 Seasons,"Sports, Action & Adventure, Comedy",A heartwarming family tale,5.9
s278,Movie,Love Story 53,Michael Brown,,Egypt,"October 28, 2017",1995,PG,140 min,"War & Military, Documentary",An action-packed thriller,
s279,TV Show,Comedy Hour 14,Kevin Young,"Isabella Adams, Charlotte Miller","Netherlands, Israel","October 02, 2019",2005,PG-13,6 Seasons,Family,,7.3
s280,TV Show,Animation Fun 48,Sarah Johnson,"Luke Garcia, Charlotte Miller, Ethan Rodriguez","Denmark, Germany, Israel","September 21, 2024",2018,TV-Y7,5 Seasons,"Documentary, Family, Sci-Fi & Fantasy",A mysterious drama series,7.5
s281,TV Show,Musical Show 50,Sarah Johnson,"Isabella Adams, Amelia Moore","Sweden, Russia","October 31, 2024",1996,NR,5 Seasons,Historical,An animated adventure,8.1
s282,Movie,Adventure Quest 81,David Wilson,,Canada,"March 29, 2016",2023,TV-MA,93 min,"Crime, Musical",A musical journey,
s283,Movie,Adventure Quest 88,Christopher Lee,"Ryan Davis, Mia Young, Ava Clark","Thailand, United Kingdom","August 19, 2025",2025,TV-MA,118 min,"Sci-Fi & Fantasy, Animation, Romance",A sci-fi epic,5.7
s284,Movie,Love Story 48,Mark Thompson,"Oliver Green, Isabella Adams, Olivia Brown, Grace Martinez, Matt Anderson","Nigeria, Philippines","May 16, 2023",1998,R,115 min,Sci-Fi & Fantasy,A documentary about life,4.6
s285,Movie,Sci-Fi Future 31,Maria Garcia,"Ryan Davis, Tom Johnson, Isabella Adams, Jake Wilson, Noah White",Turkey,"December 31, 2022",2017,NC-17,78 min,Crime,An animated adventure,9.2
s286,Movie,Sports Champion 91,Sarah Johnson,,Switzerland,"July 12, 2022",2025,,105 min,"Crime, Musical",A dark horror story,6.5
s287,Movie,Sci-Fi Future 15,David Wilson,"Ava Clark, Mia Young, Chloe Lopez, Luke Garcia","Colombia, Egypt","July 06, 2018",2000,TV-G,98 min,"Musical, Comedy, Sci-Fi & Fantasy",An action-packed thriller,6.7
